timestamp,open,high,low,close,volume
1502668800000,4261.48,4485.39,3850,4086.29,2843.431426
1503273600000,4069.13,4453.91,3400,4310.01,4599.396629
1503878400000,4310.01,4939.19,4124.54,4509.08,4753.843376
1504483200000,4505,4788.59,3603,4130.37,6382.787745
1505088000000,4153.62,4394.59,2817,3699.99,8106.705127
1505692800000,3690,4123.2,3505.55,3660.02,5908.32335
1506297600000,3660.02,4406.52,3653.69,4378.48,5782.305424
1506902400000,4400,4658,4110,4640,4708.272956
1507507200000,4640,5922.3,4550,5709.99,7913.925837
1508112000000,5710,6171,5037.95,5950.02,12157.769447
1508716800000,5975,6189.88,5286.98,6169.98,13133.99457
1509321600000,6133.01,7590.25,6030,7345.01,11663.209648
1509926400000,7345.1,7770.02,5325.01,5811.03,18916.3199
1510531200000,5839.94,8123.15,5699.99,8038,19791.101011
1511136000000,8057.11,9350,7801,9128.02,28921.859792
1511740800000,9128,11825,8520,11165.41,48427.94965
1512345600000,11165.41,17204.99,10802,14899.98,72469.977627
1512950400000,14946.26,19798.68,14666.56,18860.02,67851.486215
1513555200000,18860.04,19300,10961,13500,135385.440322
1514160000000,13500,16498.05,11750,13716.36,116522.754321
1514764800000,13715.65,17176.24,12750,16150.03,120239.399359
1515369600000,16218.85,16322.3,11400,13474.99,137537.904565
1515974400000,13477.98,14249.99,9035,11530,303127.502137
1516579200000,11530,12244,9900.24,11879.95,198030.051117
1517184000000,11879.95,11975.02,7930,8184.81,202016.407759
1517788800000,8179.99,9065.78,6000.01,8063.88,340794.292131
1518393600000,8063.82,11274,8053,10383.43,311863.068137
1518998400000,10375.01,11786.01,9274.8,9590,350623.132911
1519603200000,9590,11565,9350,11515,183970.997614
1520208000000,11515,11710,8329,9533.57,282035.225382
1520812800000,9533.57,9888.88,7322,8189.99,315835.151606
1521417600000,8189,9177.01,8088.4,8470.15,285211.539511
1522022400000,8470.14,8514.89,6430,6813.01,308729.492031
1522627200000,6813.01,7520,6500,7018,232320.070499
1523232000000,7011.04,8429.54,6611,8355,259877.022414
1523836800000,8355.07,9035,7825.4,8787.02,233025.38619
1524441600000,8785.7,9759.82,8651.62,9419,306668.07214
1525046400000,9417.04,10020,8800.49,9659.01,222274.38854
1525651200000,9661.02,9689.67,8153,8679.71,224151.298751
1526256000000,8679.71,8879.99,7911.9,8526.98,182713.826012
1526860800000,8526.97,8595.31,7231.11,7338.99,190894.600939
1527465600000,7338.99,7786.69,7032.95,7714.26,211929.270766
1528070400000,7714.26,7765,6622.81,6764.99,211352.737478
1528675200000,6765,6922,6118.68,6449.61,234080.841171
1529280000000,6444.06,6841.74,5750,6136.97,234147.621015
1529884800000,6137.95,6528.99,5780,6356.81,207746.559006
1530489600000,6360.82,6818.16,6271.62,6712.1,211526.019058
1531094400000,6712.1,6802.06,6070,6353.01,192452.84988
1531699200000,6354.15,7700,6330.4,7394.79,294313.222604
1532304000000,7394.78,8491.77,7375,8211,288666.047141
1532908800000,8210.99,8273,6882.29,7024.19,282090.103584
1533513600000,7024.19,7160,5971,6308.33,334426.550743
1534118400000,6308.56,6620,5880,6477.53,378189.296487
1534723200000,6477.53,6882.54,6220,6700,286906.539311
1535328000000,6700,7345.45,6646.5,7302.01,294674.913005
1535932800000,7302,7410,6111,6250.81,306231.623424
1536537600000,6252.26,6584.99,6169.68,6505,227428.182854
1537142400000,6500.08,6839.03,6123,6708,244256.490121
